,title,release_year,rating
80,Alien Outpost,2014,4.8
81,Starship Invasions,1977,3.7
82,Alien Autopsy,2006,5.9
83,Danny Deckchair,2003,6.7
84,Extraordinary: The Stan Romanek Story,2013,3.8
85,Evil Aliens,2005,5.2
86,Zone Troopers,1985,5.3
87,Returner,2002,6.5
88,Alien vs. Ninja,2010,4.4
89,Invasion of the Animal People,1959,3.8
90,The Beast with a Million Eyes,1955,3.7
91,Sirius,2013,6.3
92,The Return of Captain Invincible,1983,5.7
93,The Astounding She-Monster,1957,3.7
94,Extraterrestrial,2011,5.8
95,Very Close Encounters of the Fourth Kind,1978,5.7
96,The Mysterians,1957,6.1
97,The Body Stealers,1969,4.2
98,Uno sceriffo extraterrestre... poco extra e molto terrestre,1979,6.2
99,Visit to a Small Planet,1960,6
100,Funky Forest: The First Contact,2005,6.7
101,Invasion from Inner Earth,1974,2.6
102,Mirage Men,2013,6.3
103,Feeders,1996,2.5
104,Cherry Hill High,1977,4
105,Alien Abduction,2005,2.5
106,"Goke, Body Snatcher from Hell",1968,6.2
107,Sex and the Single Alien,1993,3.9
108,Visitors from the Arkana Galaxy,1981,6
109,Everything Happens to Me,1980,5.9
110,Badi,1984,3.2
111,Earthbound,1981,4.6
112,Stranded,1987,5.3
113,UFO Chronicles: Alien Science and Spirituality,2013,2.9
114,Urusei Yatsura: Only You,1983,6.8
115,Destination Inner Space,1966,4.6
116,Top Line,1988,4.7
117,Encounter at Raven's Gate,1988,5.4
118,Alien Abduction: The Odyssey of Betty and Barney Hill,2013,7.8
119,Deceit,1990,4.8
120,Interceptor Force,1999,3.9
121,Urusei Yatsura 5: The Final Chapter,1988,7.1
122,Eyes Behind the Stars,1978,3.8
123,The Philadelphia Experiment Revealed: Final Countdown to Disclosure from the Area 51 Archives,2012,7.3
124,Slim Slam Slum,2002,2.4
125,El E.T.E. y el Oto,1983,3
126,The Hills Have Thighs,2008,4.6
127,Invader,1992,4.1
128,"UFOs: Past, Present, and Future",1974,7.4
129,Mutilations,1986,4.9
130,PSI Factor,1980,4.8
131,The Brother from Space,1988,3.6
132,The Silent Revolution of Truth,2007,6.4
133,Freezer Burn: The Invasion of Laxdale,2008,4.3
134,The Force Beyond,1977,6.2
135,UFO Kidnapped,1984,7.2
136,The Hidden Hand: Alien Contact and the Government Cover-Up,2013,4.9
137,Zombie Self-Defense Force,2006,4.5
138,UFOs: It Has Begun,1979,7.1
139,Ancient Aliens and the New World Order,2014,6.5
140,Report 51,2013,3.4
141,Unidentified Flying Objects: The True Story of Flying Saucers,1956,5.4
142,Overlords of the U.F.O.,1976,5
143,Alien from Area 51: The Alien Autopsy Footage Revealed,2012,3.5
144,Europe's Roswell: UFO Crash at Aberystwyth,2009,5
145,Ulysses and the Stars,1976,6.8
146,Flying Saucers,2003,6.1
147,"Abdulladzhan, ili posvyashchaetsya Stivenu Spilbergu",1991,6.6
148,Warum die UFOs unseren Salat klauen,1980,4.8
149,UFO Syndrome,1980,5.4
150,Aliens from Outer Space,2011,5.8
151,Alien Crash at Roswell: The UFO Truth Lost in Time,2013,5.6
152,Project 12,2012,7.3
153,Ultraman Cosmos: The First Contact,2001,6.3
154,The Appearance of a Man,2008,5.1
155,Lies and Deception: UFO's and the Secret Agenda,2009,3.8
156,Are We Alone in the Universe?,1978,7.5
157,Ancient Astronauts: The Gods from Planet X,2011,6.7
158,UFO's Do Not Exist! the Grand Deception and Cover-Up of the UFO Phenomenon,2011,3.8
159,Unknown Project,2013,5.2
160,UFO Chronicles: Pilot Encounters and Underground Bases,2013,5.3
161,"Alien Paranormal: Bigfoot, UFOs and the Men in Black",2013,4.7
162,The Man of Ganimedes,1976,4.6
163,Aliens from Spaceship Earth,1977,5.7
164,What on Earth?,2009,4.8
165,Hunting Grounds,2009,5.6
166,Viu-hah hah-taja,1974,5.1
167,The Children of Terra Firma,2012,6.3
168,Jungle Hell,1956,3.9
169,UFO Journals,1978,5.6
170,The Force on Thunder Mountain,1978,2.8
